category,log
authentication-failed,[Sun Feb 19 08:43:21 1984authentication /error] [: 203.236.202.17] user lamkendra: [ for Password "/citizen/beyond.pages]whole"client Mismatch failure
authentication-failed,[/of/difference.tiff/ [error: [client 170.179.46.52] user kblakeMismatch main failure for :Sat May 12 13:14:08 1990]authentication"] Password "
authentication-failed,[Sun Jul 30 09:44:53 1972] [error] [client 105.72.180.171] user sara83: login failure for "/before/relationship.jpg/student": Password conflict
authentication-failed,[for/speech/side.flac greatPassword] [client [] user espinozapatricia: authentication 176.123.178.251 Tue Nov 28 06:23:12 2000 "]/failure"error : Mismatch
authentication-failed,[Tue Aug 06 21:42:37 2019] [error] [ incongruity client 62.182.44.59] user fullerkimberly: authentication failure for "/economic/base.gif/ identity verification five": Password Mismatch
authentication-failed,["Sun Oct 04 03:44:56 1992 [:] [client failureuser ] /error authentication for 50.33.31.73 ]/gas/green.tiffzacharytoddtend": Password Mismatch
authentication-failed,[Mon Jul 23 21:40:53 1984] [error]  security verification [client 209.32.181.156] user lance47: authentication failure crash  for "/catch/decade.gif/project": Password Mismatch
authentication-failed,[Fri Jun 09 05:24:45 1989] [authentication[ /discover/term.pptPassword 75.112.48.99] user alexisreynolds/ error failure for :Mismatch"full": client ]
authentication-failed,[Thu Feb 19 13:17:53 2004] [error] [client 49.213.61.218] account holder xclark: authentication failure for "/thank/practice.mp3/item": key Mismatch
authentication-failed,errorWed Sep 06 10:29:45 2017] [jhansen] [] 19.18.153.179" user [failure authentication : for client/way/true.jsonPasswordreveal/: " Mismatch
authentication-failed,[Fri Oct 07 03:25:50 1994] [ glitch error] [client 149.82.106.57] defect  user michaelmartinez: authentication failure for "/participant/know.docx/whose": Password Mismatch
authentication-failed,[Tue Jan 20 22:50:49 2004] [error] [ fault client 118.248.252.127] user cvasquez: authentication failure for "/school/health.jpg/ person allow": Password Mismatch
authentication-failed,disparity [Sun Aug 20 20:20:07 2023] [error] [client 211.150.201.70] user clarkbrian: authentication failure for "/head/marriage.mp4/politics": Password Mismatch flaw
authentication-failed,[Mon Nov 20 02:30:35 1978] [error] [client 6.74.24.255 individual ] user wrowe: authentication failure for "/kid/benefit.json/last login code ": Password Mismatch
authentication-failed,Dec 09 01:58:40 localhost vsftpd: pam_unix(vsftpd:auth): authentication failure; logname= mferrell uid=548 euid=416 tty= audience ruser= theresa19 rhost=2.60.60.240]
authentication-failed,Jul 02 04:22:30 localhost vsftpd: pam_unix( authorization  authentication method vsftpd:auth): authentication failure; logname= john08 uid=472 euid=776 tty=  identity verification professional ruser= terrytim rhost=116.14.65.71 authentication mechanism ]
authentication-failed,failure localhost :552 pam_unix(vsftpd:auth); otyler :authentication Oct 05 13:04:12= = uidsmithchristyvsftpd euid=speech tty= 962 ruser= logname rhost=64.204.254.23]
authentication-failed,Apr 12 10:28:03 localhost vsftpd:  user at a distance pam_unix(vsftpd:auth): authentication failure; glitch  logname= trevor90 uid=391 euid=978 tty= authority user authentication  ruser= dclements rhost=4.207.165.239 error ]
authentication-failed,Nov 12 01:26:49 localhost vsftpdauth =(:=vsftpd): = failure; lognameeuid brittanypatton uid=636 authenticationruserjonathan88 tty: pam_unix discuss76.135.61.49 41 rhost==]
authentication-failed,Feb 25 17:16:32 localhost vsftpd: pam_unix(vsftpd:auth): authentication failure authentication process ; logname= martinezjonathan uid=729 euid authentication process =701 tty= offsite client  answer ruser security validation = stephanieanderson rhost=114.227.52.146]
authentication-failed,Aug 11 14:48:00 localhost vsftpd log identifier : identity validation  pam_unix(vsftpd:auth): authentication failure; logname= nmullen verification  uid=64 euid=734 tty= also ruser= marqueznatalie verification  rhost=13.22.226.163]
authentication-failed,Aug 03 05:28:02 vsftpd vsftpd: =(teach:auth): simpsonmichael failure982 lognameeuid sotojoseph uid=318 ==; ttypam_unix localhost ruserrhost authentication ==214.16.146.164]
authentication-failed,Feb 17 07:08:54 localhost vsftpd: pam_unix(vsftpd:security): authentication malfunction; logger name= dylan91 uid=584 euid=512 tty= outside remote client= hbrown rhost=84.236.196.47]
authentication-failed,Oct 14 15:05:41 localhost vsftpd: pam_unix(vsftpd:login): login breakdown; logname= fitzgeraldemily uid=525 euid=589 tty= political external client= peter07 rhost=59.97.163.115]
authentication-failed,tty localhost vsftpd= pam_unixlogname::auth(: authentication failure= )= kristina72 uid;845 ]vsftpdSep 12 11:28:43 751= message ruser= jacquelinelee rhost=205.70.35.126euid
authentication-failed,Mar 29 03:38:35 localhost failurelogname jlyons(vsftpdttyauthpam_unixuid authentication vsftpd; := : ==27.156.30.236 euid=726 zwhite= increase ruser= ) rhost:408]
authentication-failed,Jul 10 04:03:36 localhost vsftpd: pam_unix(vsftpd:authentication): identity verification anomaly; logging header= qvalencia uid=105 euid=814 tty= benefit ruser= gabrielmorgan rhost=87.219.191.202]
authentication-failed,= localhost vsftpd] pam_unix(vsftpd:auth): authentication =people Feb 15 21:45:07= tracy18 uid=737 =rhost896 david75logname ; rusereuid tty :=16.67.123.107failure
authentication-failed,Nov 03 21:08:42 localhost authentication mechanism  vsftpd: pam_unix(vsftpd: logging title auth): authentication failure; logname= castrotyler uid=303 euid= user authentication 600 tty= cause ruser= walshsara rhost security validation =162.12.152.1]
authentication-failed,Jan 29 09:26:12 localhost vsftpd: pam_unix(vsftpd:identity verification): security verification flaw; logging label= burgesskevin uid=661 euid=228 tty= within ruser= daniel17 rhost=133.225.136.102]
authentication-failed,Feb 12 16:29:01 localhost vsftpd: pam_unix(vsftpd:authorization): authentication collapse; logging identifier= gabriela19 uid=876 euid=562 tty= and distant user= joshua09 rhost=67.199.122.209]
authentication-failed,May 12 05:46:16 localhost vsftpd: pam_unix(vsftpd:auth): authentication method crash; logging name= paul78 uid=506 euid=595 tty= include user from afar= michael58 rhost=6.136.216.28]
authentication-failed,Nov 14 21:57:22 localhost vsftpd: )717=:authpam_unix= authentication failure; :rhost warnerteresa uidkevin08( euidlogname493 vsftpd= news ruser= = tty=75.130.13.85]
authentication-failed,Mar 29 06:47:57 user authentication  localhost vsftpd: pam_unix(vsftpd:auth): authentication  authentication mechanism failure; logname= michael62 uid= offsite user 434 euid=560 tty= draw ruser=  defect sabrinamoore rhost=147.242.111.147]
authentication-failed,Jun 30 05:10:34 localhost log header  vsftpd fault : pam_unix(vsftpd:auth): authentication failure; logname= josethomas  authentication process uid=168 euid=723 tty= theory external user  ruser= mary50 rhost=67.71.50.146]
authentication-failed,608 ) vsftpd: 104failurevsftpd:auth;: logname rhostlocalhost authentication= petermontgomery uid=tty euid== Apr 04 04:40:01= ] ruser= qbrooks (pam_unix179.244.229.181three
authentication-failed,May 20 13:12:37 localhost vsftpd: authentication process  pam_unix(vsftpd:auth): authentication remote user  failure; logname= kimberly81 uid=55 euid verification =576 tty= including ruser=  glitch kberger rhost=65.42.151.74]
authentication-failed,Apr 20 07:54:27 localhost vsftpd: pam_unix(vsftpd:auth): security validation error; log title= nbrown uid=886 euid=99 tty= require external account= douglas40 rhost=73.236.147.79]
authentication-failed,Dec 30 14:35:13 localhost vsftpd: pam_unixttyauthentication=auth): 134.247.51.118 failure; ruser= 193 uid:= 494=euid adamgill( perform logname= dmoody vsftpd=rhost]
authentication-failed,failure localhost auth: :donaldroberts(:=)pam_unix authentication Feb 17 03:26:45; logname= will uid=] euid=202.198.8.254 tty= vsftpd 456vsftpd nealmichelle rhost=ruser788
authentication-failed,Mar 11 23:36:17 localhost vsftpd: pam_unix(vsftpd:security): identity validation malfunction; log label= davidjenkins uid=997 euid=290 tty= rate ruser= whiterichard rhost=2.186.162.90]
authentication-failed,Oct 29 02:06:21 localhost vsftpd: pam_unix(vsftpd:login): verification breakdown; logname= alexisedwards uid=573 euid=993 tty= draw user at a distance= vbass rhost=159.105.160.84]
authentication-failed,May 24 15:53:10 185 failure: pam_unix(=::)] euid auth; logname= arose uid=rhost authenticationvsftpdlocalhost tty= window ruser= korozco =19068.68.115.91vsftpd
authentication-failed,Dec 07 22:30:43 localhost vsftpd: pam_unix(vsftpd:authentication): login anomaly; logname= stevenallen uid=363 euid=616 tty= take offsite client= garciarichard rhost=126.148.66.120]
authentication-failed,tty = vsftpd: pam_unixuidvsftpd:authrhost834 authentication failure; logname= changlaura (=throw ==localhost :Apr 13 20:19:20 40.89.14.41 rusereuid ramseypaul )=788]
authentication-failed,Feb 26 09:54:35 localhost vsftpd: pam_unix(vsftpd:security validation): identity verification flaw; logname= christina76 uid=72 euid=111 tty= what remote client= sherrymullins rhost=53.220.108.209]
authentication-failed,Jan 12 08:39:14 localhost vsftpd: pam_unix(vsftpd:authentication mechanism): security verification collapse; log identifier= hallchris uid=243 euid=284 tty= source ruser= daniel12 rhost=163.217.133.145]
authentication-failed,Jun 27 14:19:01 localhost 765: pam_unix(vsftpd:auth): authentication failurevsftpd == ericajohnson uidruser374 euidlogname= tty] = lindsay85; = rhost=145.238.148.46stage
authentication-failed,user authentication Mar 13 15:24:56 localhost authentication method  vsftpd: pam_unix( logger name vsftpd:auth): authentication failure; logname= crash  kyle28 uid=316 euid=767 tty= analysis ruser= jasonscott rhost=29.101.16.127]
authentication-failed,Sep 10 21:31:01 localhost vsftpd: pam_unix(vsftpd:identity verification): authentication mechanism defect; logname= jwilliams uid=566 euid=180 tty= appear external client= james97 rhost=140.86.126.87]
authentication-failed,Feb 24 18:49:27 localhost vsftpd: pam_unix(vsftpd:authorization): user authentication fault; logname= zevans uid=395 euid=194 tty= world distant user= bramirez rhost=94.182.67.202]
authentication-failed,Jun 03 22:23:12 localhost vsftpd: pam_unix(vsftpd:authentication process): authentication glitch; logging header= frankcarlson uid=972 euid=808 tty= go user from afar= kimberlypeters rhost=98.151.155.228]
authentication-failed,Feb 07 22:09:06 localhost vsftpd: pam_unix( error vsftpd:auth): authentication failure; logname logging title  verification = robertgross uid=93 euid=232 logging label  tty= need ruser= julia67 rhost=181.145.43.160]
authentication-failed,May 23 11:12:21 localhost vsftpd: pam_unix(vsftpd:security): authentication process malfunction; logname= stevensmith uid=950 euid=704 tty= it offsite user= dawnjohnson rhost=31.51.121.175]
authentication-failed,Jan 01 02:53:42 localhost vsftpd: logging identifier  pam_unix(vsftpd:auth): authentication failure; external user  logname= johnsonshelia uid=477  remote user euid=386 tty=  external account spend ruser= carlos12 rhost=109.47.176.207]
authentication-failed,Aug 28 10:21:24 localhost vsftpd: pam_unix(vsftpd:login): authentication breakdown; logging name= zbenjamin uid=841 euid=240 tty= respond user at a distance= eric60 rhost=178.161.225.234]
authentication-failed,Feb 15 10:37:51 localhost vsftpd: pam_unix(vsftpd:auth): authentication failure; logname log header = sandersjacqueline anomaly  uid log title =42 euid=897  authentication tty= subject ruser= lindsay13 rhost=174.193.84.101]
authentication-failed,Apr 30 20:17:15 localhost vsftpd: pam_unix(vsftpd:security validation): security validation flaw; log label= jbrown uid=611 euid=497 tty= ok ruser= connie02 rhost=180.2.122.42]
authentication-failed,Mar 18 10:33:35 localhost vsftpd773 =authvsftpdruserrhostmarshalljonathan: = tty; logname= mcollins uid=: euid486authentication failurepam_unix against (= ) :=220.161.171.145]
authentication-failed,636 localhost vsftpd) pam_unixuidvsftpdMar 31 18:48:42authruser: failure authentication= =shaunclark graycrystal =;: euid(628 tty= hundred :logname = rhost=84.151.110.249]
authentication-failed,identity validation Jun 05 00:05:49  authentication mechanism  user authentication localhost vsftpd: pam_unix(vsftpd:auth): authentication failure; logname= bpalmer uid= log identifier 767 euid=304 tty= member ruser= cookgregory rhost=193.210.109.250]
authentication-failed,Oct 03 06:04:07 localhost vsftpdtty :(]:=)pam_unix : failure; euid= paulcortez uid=288 lognameactionrhost authentication= auth ruser= michael96 524vsftpd156.240.182.49=
authentication-failed,Jan 21 17:37:22 localhost vsftpd: pam_unix(vsftpd:identity verification): verification collapse; logger name= robert57 uid=399 euid=22 tty= down ruser= nicholas69 rhost=58.238.20.79]
authentication-failed,Mar 15 05:50:37 task sshd(pam_unix)[13350]: authentication failure; logname=jacksonsarah uid=853 euid=42 tty=charge ruser= mstewart rhost=179.175.254.94  user=taylorkelly
authentication-failed,May 22 12:27:16 three subscriber  sshd(pam_unix)[13321]:  logging header authentication failure; logname=crystalhawkins uid=845 euid crash =252 tty=relate ruser= lovecraig rhost=208.248.213.98  user=bgilbert
authentication-failed,Mar 09 16:35:30 hope sshd(pam_unix)[14728]: login defect; logname=joshua76 uid=350 euid=946 tty=two ruser= barnettmichael rhost=140.1.181.222  participant=jaygray
authentication-failed,euid computer sshd(perrypaul)=12053]: detail failure; pam_unix=jacquelineliu uid=501 Nov 28 21:31:15[user authentication=tty logname= contrerastracy rhost=48.224.37.81  552=ruser
authentication-failed,Dec 06 10:09:46 user =(pam_unix:[16.177.139.70830) carolrusso failure749 logname=15763 uidsshd; euid=] ruser=sethglover tty= authentication rhost=pwoods  recognize=alone
authentication-failed,= eanderson house(pam_unix=[17715]: authentication =; =sshdbrett27 uidlogname528 euid)115 ==tty failureNov 14 11:42:46 ten rhost=31.133.65.4  userruserderrick98
authentication-failed,Apr 16 09:51:46 generation sshd(pam_unix)[13926]: authentication fault; logging title=awebb uid=486 euid=416 tty=development ruser= rmorris rhost=21.180.121.249  consumer=reyesallison
authentication-failed,Jan 03 10:35:24 suffer sshd(pam_unix)[11299]: authentication failure; logging label=kristen18 uid=436 euid=289 tty=tend offsite client= mary19 rhost=31.186.209.116  end user=reginamoore
authentication-failed,Sep 30 05:54:49 must sshd(pam_unix)[17553]: identity verification failure; logname=donaldmoss uid=824 euid=862 tty=deal remote client= ycox rhost=40.174.223.17  customer=douglas75
authentication-failed,Feb 05 13:33:09 particular sshd(pam_unix)[ glitch 18307]: authentication failure; logname=jamesgriffith uid=841 euid=669 tty=glass ruser external client = michaellewis rhost=108.162.78.112  user=cbrown distant user
authentication-failed,May 21 05:13:58 now sshd(pam_unix)[16512]: security verification failure; logging identifier=joe02 uid=401 euid=110 tty=now ruser= leonardlindsey rhost=46.200.62.207  client=amandavalenzuela
authentication-failed,cwilson head sshd()]=pam_unix17933: authentication failure; logname=bwade uid=850 euid=674 tty=[ ruser= montgomerymelanie rhostwriter191.141.193.200  user=Apr 01 20:16:55
authentication-failed,rhost behavior sshd()user97.185.212.10219377]: = failure; lognameeuidhugheslisa uidauthentication426 pam_unix=438 tty=past =ruser davidwalsh Jun 23 03:53:40=[  ==gutierrezshannon
authentication-failed,Aug 01 10:44:55 coach sshd(pam_unix)[17082]: authentication error; logging name=larrymueller uid=529 euid=228 tty=throughout ruser= bbrady rhost=33.97.11.72  account holder=othompson
authentication-failed,Feb 27 10:45:22 decade sshd(pam_unix)[17661]: authentication failure; logname=utaylor authentication method  uid=936 log header  euid=487 tty=understand ruser= michaelroberts  person rhost=149.112.30.38  user=romantiffany
authentication-failed,ldouglas = :(pam_unix)rhost14265]sshd sheppardmary failuretty logname=authentication uid=16.21.121.106 euid;955 control=fine ruser611 gutierrezsandra [==  user=Jul 25 04:21:12
authentication-failed,Sep 25 06:59:11 until tty(pam_unix==19417]rhost euid 970; logname=failure only== authentication=adamandrade sshd=uid ruser) bowens :[60.128.123.57  user807reillypatty
authentication-failed,= one )(pam_unix;logname16005]: authentication failure= lisamcguire=jenkinskristen ==981 ysullivan=694 tty[player ruserDec 04 02:50:34 euid sshd=40.111.113.61  userrhostuid
authentication-failed,407 return authenticationtracylopez=)ruser11450]: sshd failure; my=douglas22 uidatrujillo131 euidrhostSep 16 22:23:10 tty=( [= = ==155.201.154.238  userpam_unixlogname
authentication-failed,Jul 04 04:06:27 trouble sshd(pam_unix)[10773]: authentication mechanism malfunction; logname=garciamichelle uid=654 euid=190 tty=any user from afar= georgejohnson rhost=62.240.24.31  user=james26
authentication-failed,Jan 29 12:37:00 section sshd(pam_unix)[11054]: authentication failure; log title=swilliams uid=541 euid=520 tty=young offsite user= carrie34 rhost=144.130.115.158  individual=yevans
authentication-failed,failure : =(Oct 25 23:06:50euid[185]billion authentication lognameprogram pam_unix=usnyder user== )sshd245 tty17981; ruser= dmorris rhost=81.4.72.101  uid=michael07
authentication-failed,Sep 20 08:24:31 direction sshd(pam_unix)[13525 external user ]: authentication failure subscriber ; breakdown  logname=james48 uid=698 euid=12 tty=policy ruser= lcarr rhost=61.66.112.78  user=pinedaashley
authentication-failed,log label Apr 20 22:12:47 factor sshd(pam_unix)[12471]: authentication failure; logname=dowens uid=991  user authentication euid=837 tty=would ruser= cheryl25 rhost=5.192.212.120  log identifier  user=piercecourtney
authentication-failed,uid [ sshd(amyanderson)turn13373]: logname failure; 152.189.129.233=pam_unix ==146 euid== tty=90 =May 24 02:07:53 yesenialane rhostgarciaedwardauthentication  userbetweenruser
authentication-failed,Oct 19 16:13:56 authentication process  current sshd( logger name pam_unix)[15608]: authentication failure; logname=jtanner uid= participant 242 euid=181 tty=speak ruser= bushkatie rhost=5.148.36.88  user=iacosta
authentication-failed,Mar 16 06:40:14 happen sshd(pam_unix)[17944]: remote user  external account  authentication failure; logname=burnsveronica uid=514 euid=460 tty=pattern ruser= jasonsmith  security validation rhost=27.45.25.226  user=barbarahampton
authentication-failed,Jul 16 19:08:17 question sshd(pam_unix)[14240]: authentication failure; logname=jameshendrix user at a distance  uid=869 euid=129 tty=station  consumer ruser= rcompton identity validation  rhost=193.98.209.239  user=wadedonald
authentication-failed,Jan 07 13:36:48 voice sshd(pam_unix)[19070] anomaly : authentication failure; logname=kevin15 uid=404 euid=499 tty= remote client other ruser= melissa60 offsite client  rhost=149.236.204.23  user=awhite
authentication-failed,Feb 10 18:19:43 interest sshd(pam_unix)[15566] distant user : authentication failure; logname=carolsmith uid=529 euid=133 tty=alone ruser=  external client riddlestephanie rhost=36.213.96.28  user=alvarezcathy flaw
authentication-failed,Dec 03 23:03:53 never sshd(pam_unix)[ customer 10396]: authentication failure; logname=dcaldwell uid=656 euid=993 tty= end user the ruser=  verification mariahaley rhost=59.115.233.193  user=dominguezbrittany
authentication-failed,Jun 18 01:28:00  login send sshd(pam_unix)[19348]: authentication collapse  failure; logname=molinasheila uid=46 euid= client 296 tty=ok ruser= fobrien rhost=202.38.124.58  user=heather40
authentication-failed,Jul 07 08:44:45 season sshd(pam_unix)[13508]: identity verification failure; logname=qcuevas uid=90 euid=487 tty=hit user from afar= joshua37 rhost=189.199.227.124  account holder=vwarren
authentication-failed,Oct 14 11:44:01 board sshd(pam_unix)[13707]: security verification crash; logging header=davistimothy uid=691 euid=914 tty=however ruser= jennifermata rhost=150.225.17.40  user=barbara74
authentication-failed,; ( sshdbrandon42pam_unix)=ruser]: authentication =Jan 10 23:04:53 uidfailureumorales nothing[472 euid=369 ttymillertraceyartist 18191= = rhost=110.73.140.41  user=logname
authentication-failed,Jan 11 13:02:21 yes sshd(pam_unix)[15310]: authentication defect; logging title=jimmyellis uid=483 euid=428 tty=pay ruser= andrew21 rhost=175.64.186.143  person=morrisonandrew
authentication-failed,Nov 02 05:39:34 office sshd(pam_unix)[12618] glitch : authentication failure; logname=donnahall  fault uid=921  logging label euid=893 tty=whom ruser= umorrison rhost=186.141.161.84  user=christopherbailey
authentication-failed,Oct 31 21:08:49 yet sshd( logging identifier pam_unix)[15962]: authentication failure; logname= error vlane uid=55 euid=495 tty=wind ruser= mary93 rhost=54.66.227.82  user=thompsondavid individual
authentication-failed,Feb 15 19:32:57 matter sshd(pam_unix)[10479]: authentication failure; logging name  logname=calebmcmahon uid=922 euid=265 offsite user  tty=generation ruser= underwoodtasha rhost=81.41.246.154  external user  user=ocooper
authentication-failed,Feb 06 20:33:25 defense sshd(pam_unix)[14326]: authentication method failure; log header=stevegarcia uid=842 euid=248 tty=increase ruser= tranwalter rhost=219.123.54.249  subscriber=kimberly76
authentication-failed,billion international logname755uid)[11110]( authentication 780= =Dec 24 01:08:53= pam_unix=failure euid=: tty=sshd ruser= armstrongdominique rhosttaylor46217.34.88.95  user;ashleyscott
authentication-failed,Jun 09 09:46:45 stuff sshd(pam_unix)[19230]: authentication malfunction; logname=qbrown uid=799 euid=687 tty=someone remote user= michael33 rhost=42.27.100.108  participant=josedavis
authentication-failed,Aug 01 02:45:45 various sshd(pam_unix)[15490]: authentication breakdown; logname=brownkatie uid=963 euid=268 tty=building external account= sean89 rhost=172.202.201.184  consumer=xprice
authentication-failed,Feb 05 17:06:21 high sshd(pam_unix)[16399]: authentication failure; logname=phylliscohen  authentication mechanism uid=422 euid=874 tty=half ruser= kking rhost end user =166.65.21.209  anomaly  user=meyerdale
authentication-failed,May 20 14:41:10 very sshd(pam_unix)[12467]: authentication flaw; log title=frank06 uid=467 euid=942 tty=world ruser= evansandrew rhost=72.170.230.246  customer=williammitchell
authentication-failed,Sep 22 11:50:24 = sshd(13392)[pam_unix]: authentication =263 ==vschroeder uidafter825 euidlot; tty== ruserfailure logname rhost=133.13.2.54  sheilaricerobertmossuser
authentication-failed,Mar 22 09:33:23 air sshd150.238.85.205euid)[lognameuid= ( failure; authentication:steventhompson =usually630 pam_unix=610 ttyjennifergarcia= ruser= rodriguezlisa rhost=14346  user=]
authentication-failed,Sep 13 08:27:27 west user at a distance  sshd client (pam_unix)[14235]: authentication  account holder failure; logname=simmonslaura uid=474 euid=419 tty=she ruser= matadaniel rhost=160.150.56.34  user=markgriffith
authentication-failed,log label Jul 20 20:02:52  user authentication fight sshd(pam_unix)[11751]: collapse  authentication failure; logname=romerorandy uid=911 euid=117 tty=list ruser= stephanie89 rhost=205.3.153.130  user=mcintoshpeter
authentication-failed,Oct 08 03:19:22 still vsftpd(pam_unix)[19981]: authentication failure; logname=mannjeffrey uid=766 euid=190 tty= here ruser= alexarias rhost=56.241.150.112
authentication-failed,Dec 26 18:10:42 tty vsftpd(pam_unix)[19503== authentication failure; logname=donnablake 167euid672 billion== ok= : ruser] nancy41 rhostuid6.161.96.52
authentication-failed,authentication low vsftpd(pam_unix)euid13186]: ruser failure; lognamerhosttty uid=Jan 09 03:37:33 96.63.109.215=716 garciagrace= another 970= glenn40 ==[
authentication-failed,Mar 05 03:05:14  offsite client option vsftpd(pam_unix)[10600]: authentication failure; logname=rwiggins uid=254 euid=223 tty= interest  log identifier ruser= robin41 crash  rhost=198.122.213.224
authentication-failed,Nov 22 02:38:02 ] vsftpdpam_unix(=[==: uid failure; lognamejmorse19587 authenticationtty293 euid=896 )= = rusercity elizabeth83 rhostprofessor58.75.241.204
